"","x"
"1","AttA"
"2","AttB"
"3","AttD"
"4","Def"
"5","PGRP-LF"
"6","Tsf1"
"7","PGRP-SC1a"
"8","PGRP-SC1b"
"9","PGRP-SC2"
"10","Drs"
"11","Drsl2"
"12","Drsl3"
"13","Drsl4"
"14","Drsl5"
"15","DptB"
"16","Dim1"
"17","CG16836"
"18","rho"
"19","key"
"20","aos"
"21","pnt"
"22","CG12224"
"23","Cyp4p3"
"24","TotM"
"25","Ote"
"26","slbo"
"27","CG32302"
"28","CG14957"
"29","CG6933"
"30","CG4835"
"31","obst-I"
"32","CG7252"
"33","Muc18B"
"34","CG16965"
"35","Ugt86Di"
"36","CG4267"
"37","CG1698"
"38","CG4797"
"39","caix"
"40","Ipk2"
"41","FucTA"
"42","CG4563"
"43","Gld"
"44","CG11425"
"45","Oatp58Db"
"46","CG42335"
"47","CG3604"
"48","CG16713"
"49","CG30090"
"50","IM33"
"51","CG31704"
"52","Jon66Ci"
"53","CG4367"
"54","Lst"
"55","Listericin"
"56","CG4269"
"57","CG31789"
"58","CG3703"
"59","CG6429"
"60","CG7296"
"61","CG13077"
"62","Muc55B"
"63","CG13488"
"64","CG16775"
"65","CG32107"
"66","CG15818"
"67","CG31436"
"68","CG42807"
"69","CG42808"
"70","CG11378"
"71","CG15044"
"72","CG10559"
"73","ReepA"
"74","shams"
"75","CG33109"
"76","TBCB"
"77","CG11141"
"78","CG15199"
"79","CG30154"
"80","CG16995"
"81","DptA"
"82","PGRP-LB"
"83","IM3"
"84","IMPPP"
"85","hh"
"86","pirk"
"87","CG33958"
"88","Dl"
"89","AstA-R1"
"90","Hsc70-2"
"91","CG6967"
"92","CG3397"
"93","CG8353"
"94","Zip99C"
"95","CG42825"
"96","CG42826"
"97","CG7402"
"98","Spn42Da"
"99","Psa"
"100","l(3)72Dp"
"101","DPCoAC"
"102","CG11470"
"103","edin"
"104","Rep"
"105","Rel"
"106","CG17325"
"107","CG10570"
"108","CG10943"
"109","Sgt1"
"110","CG15068"
"111","PGRP-SD"
