,FASTQ_FILE,SAMPLE_ID,id,condition,replicate,sample_name,directory
AS-182531-LR-28104_R1.fastq.gz,AS-182531-LR-28104_R1.fastq.gz,1-WT_PMG-1,1,WT_PMG,1,w1118_1,./quants_008474/quants_008474/AS-182531-LR-28104_quant
AS-182532-LR-28105_R1.fastq.gz,AS-182532-LR-28105_R1.fastq.gz,3-WT_PMG-3,3,WT_PMG,3,w1118_2,./quants_008474/quants_008474/AS-182532-LR-28105_quant
AS-182534-LR-28104_R1.fastq.gz,AS-182534-LR-28104_R1.fastq.gz,5-RelKO_PMG-1,5,RelKO_PMG,1,RelE20_1,./quants_008474/quants_008474/AS-182534-LR-28104_quant
AS-182535-LR-28105_R1.fastq.gz,AS-182535-LR-28105_R1.fastq.gz,6-RelKO_PMG-2,6,RelKO_PMG,2,RelE20_2,./quants_008474/quants_008474/AS-182535-LR-28105_quant
AS-182537-LR-28104_R1.fastq.gz,AS-182537-LR-28104_R1.fastq.gz,8-Shn_PMG-1,8,Shn_PMG,1,Shn-RNAi_1,./quants_008474/quants_008474/AS-182537-LR-28104_quant
AS-182538-LR-28105_R1.fastq.gz,AS-182538-LR-28105_R1.fastq.gz,9-Shn_PMG-2,9,Shn_PMG,2,Shn-RNAi_2,./quants_008474/quants_008474/AS-182538-LR-28105_quant
AS-182539-LR-28104_R1.fastq.gz,AS-182539-LR-28104_R1.fastq.gz,10-Shn_PMG-3,10,Shn_PMG,3,Shn-RNAi_3,./quants_008474/quants_008474/AS-182539-LR-28104_quant
AS-182541-LR-28104_R1.fastq.gz,AS-182541-LR-28104_R1.fastq.gz,12-ShnRelKO_PMG-1,12,ShnRelKO_PMG,1,"Shn-RNAi,RelE20_1",./quants_008474/quants_008474/AS-182541-LR-28104_quant
AS-182542-LR-28105_R1.fastq.gz,AS-182542-LR-28105_R1.fastq.gz,13-ShnRelKO_PMG-2,13,ShnRelKO_PMG,2,"Shn-RNAi,RelE20_2",./quants_008474/quants_008474/AS-182542-LR-28105_quant
